catalog,shortName,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,redshift,redshift_lower,redshift_upper,p_astro
GWTC-3-confident,GW200322_091133-v1,38.0,-22.0,130.0,11.3,-6.0,24.3,50.0,-22.0,132.0,48.0,-22.0,132.0,3500.0,-2200.0,12500.0,0.27,-0.58,0.54,15.0,-4.0,29.5,0.59,-0.32,1.43,0.61501
GWTC-3-confident,GW200316_215756-v1,13.1,-2.9,10.2,7.8,-2.9,2.0,21.2,-2.0,7.2,20.2,-1.9,7.4,1120.0,-440.0,480.0,0.13,-0.1,0.27,8.75,-0.55,0.62,0.22,-0.08,0.08,0.99
GWTC-3-confident,GW200311_115853-v1,34.2,-3.8,6.4,27.7,-5.9,4.1,61.9,-4.2,5.3,59.0,-3.9,4.8,1170.0,-400.0,280.0,-0.02,-0.2,0.16,26.6,-2.0,2.4,0.23,-0.07,0.05,0.99
GWTC-3-confident,GW200308_173609-v1,60.0,-29.0,166.0,24.0,-13.0,36.0,92.0,-48.0,169.0,88.0,-47.0,169.0,7100.0,-4400.0,13900.0,0.16,-0.49,0.58,34.0,-18.0,44.0,1.04,-0.57,1.47,0.8566
GWTC-3-confident,GW200306_093714-v1,28.3,-7.7,17.1,14.8,-6.4,6.5,43.9,-7.5,11.8,41.7,-6.9,12.3,2100.0,-1100.0,1700.0,0.32,-0.46,0.28,17.5,-3.0,3.5,0.38,-0.18,0.24,0.81156
GWTC-3-confident,GW200302_015811-v1,37.8,-8.5,8.7,20.0,-5.7,8.1,57.8,-6.9,9.6,55.5,-6.6,8.9,1480.0,-700.0,1020.0,0.01,-0.26,0.25,23.4,-3.0,4.7,0.28,-0.12,0.16,0.90643
GWTC-3-confident,GW200225_060421-v1,19.3,-3.0,5.0,14.0,-3.5,2.8,33.5,-3.0,3.6,32.1,-2.8,3.5,1150.0,-530.0,510.0,-0.12,-0.28,0.17,14.2,-1.4,1.5,0.22,-0.1,0.09,0.99
GWTC-3-confident,GW200224_222234-v1,40.0,-4.5,6.7,32.7,-7.2,4.8,72.3,-5.3,7.2,68.7,-4.8,6.7,1710.0,-650.0,500.0,0.1,-0.16,0.15,31.1,-2.7,3.3,0.32,-0.11,0.08,0.99
GWTC-3-confident,GW200220_124850-v1,38.9,-8.6,14.1,27.9,-9.0,9.2,67.0,-12.0,17.0,64.0,-11.0,16.0,4000.0,-2200.0,2800.0,-0.07,-0.33,0.27,28.2,-5.1,7.3,0.66,-0.31,0.36,0.82579
GWTC-3-confident,GW200220_061928-v1,87.0,-23.0,40.0,61.0,-25.0,26.0,148.0,-33.0,55.0,141.0,-31.0,51.0,6000.0,-3100.0,4800.0,0.06,-0.38,0.4,62.0,-15.0,23.0,0.9,-0.4,0.55,0.62376
GWTC-3-confident,GW200219_094415-v1,37.5,-6.9,10.1,27.9,-8.4,7.4,65.0,-8.2,12.6,62.2,-7.8,11.7,3400.0,-1500.0,1700.0,-0.08,-0.29,0.23,27.6,-3.8,5.6,0.57,-0.22,0.22,0.99
GWTC-3-confident,GW200216_220804-v1,51.0,-13.0,22.0,30.0,-16.0,14.0,81.0,-14.0,20.0,78.0,-13.0,19.0,3800.0,-2000.0,3000.0,0.1,-0.36,0.34,32.9,-8.5,9.3,0.63,-0.29,0.37,0.77277
GWTC-3-confident,GW200210_092254-v1,24.1,-4.6,7.5,2.83,-0.42,0.47,27.0,-4.3,7.1,26.7,-4.3,7.2,940.0,-340.0,430.0,0.02,-0.21,0.22,6.56,-0.4,0.38,0.19,-0.06,0.08,0.54462
GWTC-3-confident,GW200209_085452-v1,35.6,-6.8,10.5,27.1,-7.8,7.8,62.6,-9.4,13.9,59.9,-8.9,13.1,3400.0,-1800.0,1900.0,-0.12,-0.3,0.24,26.7,-4.2,6.0,0.57,-0.26,0.25,0.97236
GWTC-3-confident,GW200208_222617-v1,51.0,-30.0,103.0,12.3,-5.5,9.2,63.0,-26.0,100.0,61.0,-26.0,99.0,4100.0,-2000.0,4400.0,0.45,-0.46,0.42,19.8,-5.2,10.5,0.66,-0.29,0.53,0.70006
GWTC-3-confident,GW200208_130117-v1,37.7,-6.2,9.3,27.4,-7.3,6.3,65.3,-6.8,8.1,62.5,-6.4,7.5,2230.0,-850.0,1020.0,-0.07,-0.27,0.21,27.7,-3.1,3.7,0.4,-0.14,0.15,0.99
GWTC-3-confident,GW200202_154313-v1,10.1,-1.4,3.5,7.3,-1.7,1.1,17.58,-0.67,1.78,16.76,-0.66,1.87,410.0,-160.0,150.0,0.04,-0.06,0.13,7.49,-0.2,0.24,0.09,-0.03,0.03,0.99
