shortName,GPS,mass_1_source,mass_2_source,total_mass_source,final_mass_source,snr,luminosity_distance,chi_eff,chirp_mass_source,redshift
GW150914-v4,1126259462.4,34.6,30.0,64.5,61.5,26.0,470.0,-0.04,27.9,0.1
GW151012-v4,1128678900.4,24.8,13.6,38.8,37.1,9.3,1000.0,0.12,15.6,0.2
GW151226-v3,1135136350.6,14.2,7.5,21.7,20.7,12.7,460.0,0.2,8.9,0.1
GW170104-v3,1167559936.6,28.7,20.8,49.6,47.5,13.8,1110.0,-0.04,21.1,0.22
GW170608-v4,1180922494.5,10.6,7.8,18.5,17.7,15.3,340.0,0.05,7.9,0.07
GW170729-v2,1185389807.3,54.7,30.2,84.4,80.3,10.7,2490.0,0.29,34.6,0.44
GW170809-v2,1186302519.8,34.1,24.2,58.5,55.7,12.8,1070.0,0.07,24.8,0.21
GW170814-v4,1186741861.5,30.9,24.9,56.0,53.2,17.7,610.0,0.08,24.1,0.13
GW170817-v3,1187008882.4,1.46,1.27,,2.8,33.0,40.0,0.0,1.186,0.01
GW170818-v2,1187058327.1,34.8,27.6,62.5,59.7,12.0,1080.0,-0.06,26.8,0.21
GW170823-v2,1187529256.5,38.3,29.0,67.0,63.9,12.2,1970.0,0.05,28.6,0.36
GW190403_051519-v1,1238303737.2,85.0,20.0,106.6,102.2,7.6,8280.0,0.68,34.0,1.18
GW190408_181802-v2,1238782700.2,24.8,18.5,43.4,41.4,14.6,1540.0,-0.03,18.5,0.29
GW190412_053044-v4,1239082262.1,27.7,9.0,36.8,35.6,19.8,720.0,0.21,13.3,0.15
GW190413_052954-v2,1239168612.5,33.7,24.2,58.0,55.5,9.0,3320.0,-0.04,24.5,0.56
GW190413_134308-v2,1239198206.7,51.3,30.4,81.3,78.0,10.6,3800.0,-0.01,33.3,0.62
GW190421_213856-v2,1239917954.2,42.0,32.0,73.6,70.5,10.7,2590.0,-0.1,31.4,0.45
GW190425_081805-v3,1240215503.0,2.1,1.3,3.4,,12.4,150.0,0.07,1.44,0.03
GW190426_190642-v1,1240340820.6,105.5,76.0,182.3,172.9,8.7,4580.0,0.23,76.0,0.73
GW190503_185404-v2,1240944862.2,41.3,28.3,69.4,66.5,12.2,1520.0,-0.05,29.3,0.29
GW190512_180714-v2,1241719652.4,23.2,12.5,35.8,34.3,12.7,1460.0,0.02,14.6,0.28
GW190513_205428-v2,1241816086.7,36.0,18.3,54.4,52.1,12.5,2210.0,0.16,21.8,0.4
GW190514_065416-v2,1241852074.8,40.9,28.4,69.3,66.4,8.0,3890.0,-0.08,29.1,0.64
GW190517_055101-v2,1242107479.8,39.2,24.0,64.1,60.1,10.8,1790.0,0.49,26.5,0.33
GW190519_153544-v2,1242315362.3,65.1,40.8,105.6,100.0,15.9,2600.0,0.33,44.3,0.45
GW190521_030229-v4,1242442967.4,98.4,57.2,153.1,147.4,14.3,3310.0,-0.14,63.3,0.56
GW190521_074359-v2,1242459857.4,43.4,33.4,76.3,72.6,25.9,1080.0,0.1,32.8,0.21
GW190527_092055-v2,1242984073.7,35.6,22.2,58.1,55.5,8.0,2520.0,0.1,23.9,0.44
GW190602_175927-v2,1243533585.0,71.8,44.8,115.6,110.5,13.2,2840.0,0.12,48.0,0.49
GW190620_030421-v2,1245035079.3,58.0,35.0,92.7,88.0,12.1,2910.0,0.34,38.1,0.5
GW190630_185205-v2,1245955943.1,35.1,24.0,59.4,56.6,16.4,870.0,0.1,25.1,0.18
GW190701_203306-v2,1246048404.5,54.1,40.5,94.3,90.2,11.2,2090.0,-0.08,40.2,0.38
GW190706_222641-v2,1246487219.3,74.0,39.4,112.6,107.3,13.4,3630.0,0.28,45.6,0.6
GW190707_093326-v2,1246527224.1,12.1,7.9,20.1,19.2,13.1,850.0,-0.04,8.4,0.17
GW190708_232457-v2,1246663515.3,19.8,11.6,31.4,30.1,13.4,930.0,0.05,13.1,0.19
GW190719_215514-v2,1247608532.9,36.6,19.9,57.2,54.5,7.9,3730.0,0.25,22.8,0.61
GW190720_000836-v2,1247616534.7,14.2,7.5,21.8,20.8,10.9,770.0,0.19,9.0,0.16
GW190725_174728-v1,1248112066.4,11.8,6.3,18.3,17.6,9.1,1030.0,-0.04,7.4,0.2
GW190727_060333-v2,1248242631.9,38.9,30.2,68.8,65.4,11.7,3070.0,0.09,29.4,0.52
GW190728_064510-v2,1248331528.5,12.5,8.0,20.7,19.7,13.1,880.0,0.13,8.6,0.18
GW190731_140936-v2,1248617394.6,41.8,29.0,70.7,67.4,8.8,3330.0,0.07,29.7,0.56
GW190803_022701-v2,1248834439.8,37.7,27.6,65.0,62.1,9.3,3190.0,-0.01,27.6,0.54
GW190805_211137-v1,1249074715.3,46.2,30.6,76.7,72.4,8.1,6130.0,0.37,31.9,0.92
GW190814_211039-v3,1249852257.0,23.3,2.6,25.9,25.7,25.3,230.0,0.0,6.11,0.05
GW190828_063405-v2,1251009263.7,31.9,25.8,57.2,54.3,16.5,2070.0,0.15,24.6,0.38
GW190828_065509-v2,1251010527.8,23.7,10.4,34.3,33.0,10.2,1540.0,0.05,13.4,0.29
GW190910_112807-v2,1252150105.3,43.8,34.2,78.0,74.4,14.5,1520.0,0.0,33.5,0.29
GW190915_235702-v2,1252627040.6,32.6,24.5,57.2,54.7,13.1,1750.0,-0.03,24.4,0.32
GW190916_200658-v1,1252699636.9,43.8,23.3,68.0,65.0,8.1,4940.0,0.2,26.9,0.77
GW190917_114630-v1,1252756008.0,9.7,2.1,11.8,11.6,8.3,720.0,-0.08,3.7,0.15
GW190924_021846-v2,1253326744.8,8.8,5.1,13.9,13.3,12.0,550.0,0.03,5.8,0.11
GW190925_232845-v1,1253489343.1,20.8,15.5,36.7,34.9,9.7,930.0,0.09,15.6,0.19
GW190926_050336-v1,1253509434.0,41.1,20.4,61.9,59.6,8.1,3280.0,-0.02,24.4,0.55
GW190929_012149-v2,1253755327.4,66.3,26.8,93.3,90.3,9.7,3130.0,-0.03,35.6,0.53
GW190930_133541-v2,1253885759.2,14.2,6.9,21.2,20.2,9.7,770.0,0.19,8.5,0.16
GW191103_012549-v1,1256779567.5,11.8,7.9,20.0,19.0,8.9,990.0,0.21,8.34,0.2
GW191105_143521-v1,1256999739.9,10.7,7.7,18.5,17.6,9.7,1150.0,-0.02,7.82,0.23
GW191109_010717-v1,1257296855.2,65.0,47.0,112.0,107.0,17.3,1290.0,-0.29,47.5,0.25
GW191113_071753-v1,1257664691.8,29.0,5.9,34.5,34.0,7.9,1370.0,0.0,10.7,0.26
GW191126_115259-v1,1258804397.6,12.1,8.3,20.7,19.6,8.3,1620.0,0.21,8.65,0.3
GW191127_050227-v1,1258866165.5,53.0,24.0,80.0,76.0,9.2,3400.0,0.18,29.9,0.57
GW191129_134029-v1,1259070047.1,10.7,6.7,17.5,16.8,13.1,790.0,0.06,7.31,0.16
GW191204_110529-v1,1259492747.5,27.3,19.2,47.1,45.0,8.9,1900.0,0.05,19.8,0.34
GW191204_171526-v1,1259514944.0,11.7,8.4,20.19,19.18,17.4,640.0,0.16,8.56,0.13
GW191215_223052-v1,1260484270.3,24.9,18.1,43.3,41.4,11.2,1930.0,-0.04,18.4,0.35
GW191216_213338-v1,1260567236.4,12.1,7.7,19.8,18.87,18.6,340.0,0.11,8.33,0.07
GW191219_163120-v1,1260808298.4,31.1,1.17,32.3,32.2,9.1,550.0,0.0,4.31,0.11
GW191222_033537-v1,1261020955.1,45.1,34.7,79.0,75.5,12.5,3000.0,-0.04,33.8,0.51
GW191230_180458-v1,1261764316.4,49.4,37.0,86.0,82.0,10.4,4300.0,-0.05,36.5,0.69
GW200112_155838-v1,1262879936.0,35.6,28.3,63.9,60.8,19.8,1250.0,0.06,27.4,0.24
